symbol,stock_name
EPL,EPL Ltd.
EASEMYTRIP,Easy Trip Planners Ltd.
EDELWEISS,Edelweiss Financial Services Ltd.
EICHERMOT,Eicher Motors Ltd.
ELECON,Elecon Engineering Co. Ltd.
EMIL,Electronics Mart India Ltd.
ELECTCAST,Electrosteel Castings Ltd.
ELGIEQUIP,Elgi Equipments Ltd.
EMAMILTD,Emami Ltd.
EMBDL,Embassy Developments Ltd.
EMCURE,Emcure Pharmaceuticals Ltd.
ENDURANCE,Endurance Technologies Ltd.
ENGINERSIN,Engineers India Ltd.
ENTERO,Entero Healthcare Solutions Ltd.
EIEL,Enviro Infra Engineers Ltd.
EPIGRAL,Epigral Ltd.
EQUITASBNK,Equitas Small Finance Bank Ltd.
ERIS,Eris Lifesciences Ltd.
ESCORTS,Escorts Kubota Ltd.
ETERNAL,Eternal Ltd.
ETHOSLTD,Ethos Ltd.
EUREKAFORB,Eureka Forbes Ltd.
EXIDEIND,Exide Industries Ltd.
FDC,FDC Ltd.
NYKAA,FSN E-Commerce Ventures Ltd.
FEDERALBNK,Federal Bank Ltd.
FACT,Fertilisers and Chemicals Travancore Ltd.
FIEMIND,Fiem Industries Ltd
FINEORG,Fine Organic Industries Ltd.
FINCABLES,Finolex Cables Ltd.
FINPIPE,Finolex Industries Ltd.
FSL,Firstsource Solutions Ltd.
FIVESTAR,Five-Star Business Finance Ltd.
FORCEMOT,Force Motors Ltd.
FORTIS,Fortis Healthcare Ltd.
GRINFRA,G R Infraprojects Ltd.
GAIL,GAIL (India) Ltd.
GVT&D,GE Vernova T&D India Ltd.
GHCL,GHCL Ltd.
GMMPFAUDLR,GMM Pfaudler Ltd.
GMRAIRPORT,GMR Airports Ltd.
GMRP&UI,GMR Power and Urban Infra Ltd.
GABRIEL,Gabriel India Ltd.
GALLANTT,Gallantt Ispat Ltd.
GANESHHOU,Ganesh Housing Ltd.
GANECOS,Ganesha Ecosphere Ltd.
GRSE,Garden Reach Shipbuilders & Engineers Ltd.
GRWRHITECH,Garware Hi-Tech Films Ltd.
GARFIBRES,Garware Technical Fibres Ltd.
GATEWAY,Gateway Distriparks Ltd.
GICRE,General Insurance Corporation of India
GILLETTE,Gillette India Ltd.
GLAND,Gland Pharma Ltd.
GLAXO,Glaxosmithkline Pharmaceuticals Ltd.
GLENMARK,Glenmark Pharmaceuticals Ltd.
MEDANTA,Global Health Ltd.
GODIGIT,Go Digit General Insurance Ltd.
GPIL,Godawari Power & Ispat Ltd.
GODFRYPHLP,Godfrey Phillips India Ltd.
GODREJAGRO,Godrej Agrovet Ltd.
GODREJCP,Godrej Consumer Products Ltd.
GODREJIND,Godrej Industries Ltd.
GODREJPROP,Godrej Properties Ltd.
GOKEX,Gokaldas Exports Ltd.
GRANULES,Granules India Ltd.
GRAPHITE,Graphite India Ltd.
GRASIM,Grasim Industries Ltd.
GRAVITA,Gravita India Ltd.
GESHIP,Great Eastern Shipping Co. Ltd.
GREAVESCOT,Greaves Cotton Ltd.
GREENPANEL,Greenpanel Industries Ltd.
GAEL,Gujarat Ambuja Exports Ltd.
FLUOROCHEM,Gujarat Fluorochemicals Ltd.
GUJGASLTD,Gujarat Gas Ltd.
GMDCLTD,Gujarat Mineral Development Corporation Ltd.
GNFC,Gujarat Narmada Valley Fertilizers and Chemicals Ltd.
GPPL,Gujarat Pipavav Port Ltd.
GSFC,Gujarat State Fertilizers & Chemicals Ltd.
GSPL,Gujarat State Petronet Ltd.
GULFOILLUB,Gulf Oil Lubricants India Ltd.
HEG,H.E.G. Ltd.
HGINFRA,H.G. Infra Engineering Ltd.
HBLENGINE,HBL Engineering Ltd.
HCLTECH,HCL Technologies Ltd.
HDFCAMC,HDFC Asset Management Company Ltd.
HDFCBANK,HDFC Bank Ltd.
HDFCLIFE,HDFC Life Insurance Company Ltd.
HFCL,HFCL Ltd.
HAPPSTMNDS,Happiest Minds Technologies Ltd.
HAVELLS,Havells India Ltd.
HCG,Healthcare Global Enterprises Ltd.
HEMIPROP,Hemisphere Properties India Ltd.
HERITGFOOD,Heritage Foods Ltd.
HEROMOTOCO,Hero MotoCorp Ltd.
HEXT,Hexaware Technologies Ltd.
HIKAL,Hikal Ltd.
HSCL,Himadri Speciality Chemical Ltd.
HINDALCO,Hindalco Industries Ltd.
HAL,Hindustan Aeronautics Ltd.
HCC,Hindustan Construction Co. Ltd.
HINDCOPPER,Hindustan Copper Ltd.
HINDPETRO,Hindustan Petroleum Corporation Ltd.
HINDUNILVR,Hindustan Unilever Ltd.
HINDZINC,Hindustan Zinc Ltd.
POWERINDIA,Hitachi Energy India Ltd.
HOMEFIRST,Home First Finance Company India Ltd.
HONASA,Honasa Consumer Ltd.
HONAUT,Honeywell Automation India Ltd.
HUDCO,Housing & Urban Development Corporation Ltd.
HYUNDAI,Hyundai Motor India Ltd.
ICICIBANK,ICICI Bank Ltd.
ICICIGI,ICICI Lombard General Insurance Company Ltd.
ICICIPRULI,ICICI Prudential Life Insurance Company Ltd.
IDBI,IDBI Bank Ltd.
IDFCFIRSTB,IDFC First Bank Ltd.
IFBIND,IFB Industries Ltd.
IFCI,IFCI Ltd.
IIFLCAPS,IIFL Capital Services Ltd.
IIFL,IIFL Finance Ltd.
INOXINDIA,INOX India Ltd.
IRB,IRB Infrastructure Developers Ltd.
IRCON,IRCON International Ltd.
ITCHOTELS,ITC Hotels Ltd.
ITC,ITC Ltd.
ITI,ITI Ltd.
IMAGICAA,Imagicaaworld Entertainment Ltd.
INDGN,Indegene Ltd.
INDIACEM,India Cements Ltd.
INDIAGLYCO,India Glycols Ltd.
INDIASHLTR,India Shelter Finance Corporation Ltd.
INDIAMART,Indiamart Intermesh Ltd.
INDIANB,Indian Bank
IEX,Indian Energy Exchange Ltd.
INDHOTEL,Indian Hotels Co. Ltd.
IMFA,Indian Metals & Ferro Alloys Ltd.
IOC,Indian Oil Corporation Ltd.
IOB,Indian Overseas Bank
IRCTC,Indian Railway Catering And Tourism Corporation Ltd.
IRFC,Indian Railway Finance Corporation Ltd.
IREDA,Indian Renewable Energy Development Agency Ltd.
INDIGOPNTS,Indigo Paints Ltd.
ICIL,Indo Count Industries Ltd.
IGL,Indraprastha Gas Ltd.
INDUSTOWER,Indus Towers Ltd.
INDUSINDBK,IndusInd Bank Ltd.
INFIBEAM,Infibeam Avenues Ltd.
NAUKRI,Info Edge (India) Ltd.
INFY,Infosys Ltd.
INGERRAND,Ingersoll Rand (India) Ltd.
INNOVACAP,Innova Captab Ltd.
INOXGREEN,Inox Green Energy Services Ltd.
INOXWIND,Inox Wind Ltd.
INTELLECT,Intellect Design Arena Ltd.
INDIGO,InterGlobe Aviation Ltd.
IGIL,International Gemmological Institute (India) Ltd.
IKS,Inventurus Knowledge Solutions Ltd.
IONEXCHANG,Ion Exchange (India) Ltd.
IPCALAB,Ipca Laboratories Ltd.
ISGEC,Isgec Heavy Engineering Ltd.
JBCHEPHARM,J.B. Chemicals & Pharmaceuticals Ltd.
JKCEMENT,J.K. Cement Ltd.
JKIL,J.Kumar Infraprojects Ltd.
JBMA,JBM Auto Ltd.
JKLAKSHMI,JK Lakshmi Cement Ltd.
JKPAPER,JK Paper Ltd.
JKTYRE,JK Tyre & Industries Ltd.
JMFINANCIL,JM Financial Ltd.
JSWENERGY,JSW Energy Ltd.
JSWINFRA,JSW Infrastructure Ltd.
JSWSTEEL,JSW Steel Ltd.
JAIBALAJI,Jai Balaji Industries Ltd.
JISLJALEQS,Jain Irrigation Systems Ltd.
JPPOWER,Jaiprakash Power Ventures Ltd.
J&KBANK,Jammu & Kashmir Bank Ltd.
JAMNAAUTO,Jamna Auto Industries Ltd.
JSFB,Jana Small Finance Bank Ltd.
JINDALSAW,Jindal Saw Ltd.
JSL,Jindal Stainless Ltd.
JINDALSTEL,Jindal Steel Ltd.
JINDWORLD,Jindal Worldwide Ltd.
JIOFIN,Jio Financial Services Ltd.
JCHAC,Johnson Controls - Hitachi Air Conditioning India Ltd.
JUBLFOOD,Jubilant Foodworks Ltd.
JUBLINGREA,Jubilant Ingrevia Ltd.
JUBLPHARMA,Jubilant Pharmova Ltd.
JWL,Jupiter Wagons Ltd.
JUSTDIAL,Justdial Ltd.
JYOTHYLAB,Jyothy Labs Ltd.
JYOTICNC,Jyoti CNC Automation Ltd.
KPRMILL,K.P.R. Mill Ltd.
KEI,KEI Industries Ltd.
KNRCON,KNR Constructions Ltd.
KPIGREEN,KPI Green Energy Ltd.
KPITTECH,KPIT Technologies Ltd.
KRBL,KRBL Ltd.
KRN,KRN Heat Exchanger and Refrigeration Ltd.
KSB,KSB Ltd.
KAJARIACER,Kajaria Ceramics Ltd.
KPIL,Kalpataru Projects International Ltd.
KALYANKJIL,Kalyan Jewellers India Ltd.
KSL,Kalyani Steels Ltd.
KTKBANK,Karnataka Bank Ltd.
KARURVYSYA,Karur Vysya Bank Ltd.
KSCL,Kaveri Seed Company Ltd.
KAYNES,Kaynes Technology India Ltd.
KEC,Kec International Ltd.
KFINTECH,Kfin Technologies Ltd.
KIRLOSBROS,Kirloskar Brothers Ltd.
KIRLOSENG,Kirloskar Oil Eng Ltd.
KIRLPNU,Kirloskar Pneumatic Company Ltd.
KITEX,Kitex Garments Ltd.
KOTAKBANK,Kotak Mahindra Bank Ltd.
KIMS,Krishna Institute of Medical Sciences Ltd.
LTF,L&T Finance Ltd.
LTTS,L&T Technology Services Ltd.
LICHSGFIN,LIC Housing Finance Ltd.
LMW,LMW Ltd.
LTFOODS,LT Foods Ltd.
LTIM,LTIMindtree Ltd.
LT,Larsen & Toubro Ltd.
LATENTVIEW,Latent View Analytics Ltd.
LAURUSLABS,Laurus Labs Ltd.
LXCHEM,Laxmi Organic Industries Ltd.
IXIGO,Le Travenues Technology Ltd.
THELEELA,Leela Palaces Hotels & Resorts Ltd.
LEMONTREE,Lemon Tree Hotels Ltd.
LICI,Life Insurance Corporation of India
LINDEINDIA,Linde India Ltd.
LLOYDSENGG,Lloyds Engineering Works Ltd.
LLOYDSENT,Lloyds Enterprises Ltd.
LLOYDSME,Lloyds Metals And Energy Ltd.
LODHA,Lodha Developers Ltd.
LUMAXTECH,Lumax Auto Technologies Ltd.
LUPIN,Lupin Ltd.
LUXIND,Lux Industries Ltd.
MMTC,MMTC Ltd.
MOIL,MOIL Ltd.
MRF,MRF Ltd.
MSTCLTD,MSTC Ltd.
MTARTECH,MTAR Technologies Ltd.
MGL,Mahanagar Gas Ltd.
MAHSCOOTER,Maharashtra Scooters Ltd.
MAHSEAMLES,Maharashtra Seamless Ltd.
M&MFIN,Mahindra & Mahindra Financial Services Ltd.
M&M,Mahindra & Mahindra Ltd.
MAHLIFE,Mahindra Lifespace Developers Ltd.
MANINFRA,Man Infraconstruction Ltd.
MANAPPURAM,Manappuram Finance Ltd.
MRPL,Mangalore Refinery & Petrochemicals Ltd.
MANKIND,Mankind Pharma Ltd.
MANORAMA,Manorama Industries Ltd.
MARICO,Marico Ltd.
MARKSANS,Marksans Pharma Ltd.
MARUTI,Maruti Suzuki India Ltd.
MASTEK,Mastek Ltd.
MAXESTATES,Max Estates Ltd.
MFSL,Max Financial Services Ltd.
MAXHEALTH,Max Healthcare Institute Ltd.
MAZDOCK,Mazagoan Dock Shipbuilders Ltd.
MEDPLUS,Medplus Health Services Ltd.
METROPOLIS,Metropolis Healthcare Ltd.
MINDACORP,Minda Corporation Ltd.
MIDHANI,Mishra Dhatu Nigam Ltd.
MSUMI,Motherson Sumi Wiring India Ltd.
MOTILALOFS,Motilal Oswal Financial Services Ltd.
MPHASIS,MphasiS Ltd.
BECTORFOOD,Mrs. Bectors Food Specialities Ltd.
MCX,Multi Commodity Exchange of India Ltd.
MUTHOOTFIN,Muthoot Finance Ltd.
NATCOPHARM,NATCO Pharma Ltd.
NBCC,NBCC (India) Ltd.
NCC,NCC Ltd.
NEOGEN,NEOGEN CHEMICALS LTD.
NESCO,NESCO Ltd.
NHPC,NHPC Ltd.
NLCINDIA,NLC India Ltd.
NMDC,NMDC Ltd.
NSLNISP,NMDC Steel Ltd.
NTPCGREEN,NTPC Green Energy Ltd.
NTPC,NTPC Ltd.
NH,Narayana Hrudayalaya Ltd.
NATIONALUM,National Aluminium Co. Ltd.
NFL,National Fertilizers Ltd.
NAVA,Nava Ltd.
NAVINFLUOR,Navin Fluorine International Ltd.
NAZARA,Nazara Technologies Ltd.
NESTLEIND,Nestle India Ltd.
NETWEB,Netweb Technologies India Ltd.
NETWORK18,Network18 Media & Investments Ltd.
NEULANDLAB,Neuland Laboratories Ltd.
NEWGEN,Newgen Software Technologies Ltd.
NAM-INDIA,Nippon Life India Asset Management Ltd.
NIVABUPA,Niva Bupa Health Insurance Company Ltd.
NUVAMA,Nuvama Wealth Management Ltd.
NUVOCO,Nuvoco Vistas Corporation Ltd.
OBEROIRLTY,Oberoi Realty Ltd.
ONGC,Oil & Natural Gas Corporation Ltd.
OIL,Oil India Ltd.
OLAELEC,Ola Electric Mobility Ltd.
OLECTRA,Olectra Greentech Ltd.
PAYTM,One 97 Communications Ltd.
ONESOURCE,Onesource Specialty Pharma Ltd.
OPTIEMUS,Optiemus Infracom Ltd.
OFSS,Oracle Financial Services Software Ltd.
ORCHPHARMA,Orchid Pharma Ltd.
ORIENTCEM,Orient Cement Ltd.
OSWALPUMPS,Oswal Pumps Ltd.
PNGJL,P N Gadgil Jewellers Ltd.
POLICYBZR,PB Fintech Ltd.
PCJEWELLER,PC Jeweller Ltd.
PCBL,PCBL Chemical Ltd.
PGEL,PG Electroplast Ltd.
PIIND,PI Industries Ltd.
PNBHOUSING,PNB Housing Finance Ltd.
PNCINFRA,PNC Infratech Ltd.
PTC,PTC India Ltd.
PTCIL,PTC Industries Ltd.
PVRINOX,PVR INOX Ltd.
PAGEIND,Page Industries Ltd.
PARADEEP,Paradeep Phosphates Ltd.
PARAS,Paras Defence and Space Technologies Ltd.
PATANJALI,Patanjali Foods Ltd.
PATELENG,Patel Engineering Ltd.
PGIL,Pearl Global Industries Ltd.
PERSISTENT,Persistent Systems Ltd.
PETRONET,Petronet LNG Ltd.
PFIZER,Pfizer Ltd.
PHOENIXLTD,Phoenix Mills Ltd.
PIDILITIND,Pidilite Industries Ltd.
PPLPHARMA,Piramal Pharma Ltd.
POLYMED,Poly Medicure Ltd.
POLYCAB,Polycab India Ltd.
POLYPLEX,Polyplex Corporation Ltd.
POONAWALLA,Poonawalla Fincorp Ltd.
PFC,Power Finance Corporation Ltd.
POWERGRID,Power Grid Corporation of India Ltd.
POWERMECH,Power Mech Projects Ltd.
PRAJIND,Praj Industries Ltd.
PREMIERENE,Premier Energies Ltd.
PRESTIGE,Prestige Estates Projects Ltd.
PRICOLLTD,Pricol Ltd.
PRINCEPIPE,Prince Pipes and Fittings Ltd.
PRSMJOHNSN,Prism Johnson Ltd.
PRIVISCL,Privi Speciality Chemicals Ltd.
PGHH,Procter & Gamble Hygiene & Health Care Ltd.
PRUDENT,Prudent Corporate Advisory Services Ltd.
PNB,Punjab National Bank
PURVA,Puravankara Ltd.
QUESS,Quess Corp Ltd.
RRKABEL,R R Kabel Ltd.
RBLBANK,RBL Bank Ltd.
RECLTD,REC Ltd.
RHIM,RHI MAGNESITA INDIA LTD.
RITES,RITES Ltd.
RADICO,Radico Khaitan Ltd
RVNL,Rail Vikas Nigam Ltd.
RAILTEL,Railtel Corporation Of India Ltd.
RAIN,Rain Industries Ltd
RAINBOW,Rainbow Childrens Medicare Ltd.
RAJESHEXPO,Rajesh Exports Ltd.
RALLIS,Rallis India Ltd.
RKFORGE,Ramkrishna Forgings Ltd.
RCF,Rashtriya Chemicals & Fertilizers Ltd.
RATEGAIN,Rategain Travel Technologies Ltd.
RATNAMANI,Ratnamani Metals & Tubes Ltd.
RTNINDIA,RattanIndia Enterprises Ltd.
RTNPOWER,RattanIndia Power Ltd.
RAYMONDLSL,Raymond Lifestyle Ltd.
REDINGTON,Redington Ltd.
REFEX,Refex Industries Ltd.
RELAXO,Relaxo Footwears Ltd.
RELIANCE,Reliance Industries Ltd.
RELINFRA,Reliance Infrastructure Ltd.
RPOWER,Reliance Power Ltd.
RELIGARE,Religare Enterprises Ltd.
RBA,Restaurant Brands Asia Ltd.
ROUTE,Route Mobile Ltd.
SBFC,SBFC Finance Ltd.
SBICARD,SBI Cards and Payment Services Ltd.
SBILIFE,SBI Life Insurance Company Ltd.
SJVN,SJVN Ltd.
SKFINDIA,SKF India Ltd.
SKYGOLD,SKY GOLD AND DIAMONDS Ltd.
SRF,SRF Ltd.
SAFARI,Safari Industries (India) Ltd.
SAGILITY,Sagility Ltd.
SAILIFE,Sai Life Sciences Ltd.
SAMHI,Samhi Hotels Ltd.
SAMMAANCAP,Sammaan Capital Ltd.
MOTHERSON,Samvardhana Motherson International Ltd.
SANDUMA,Sandur Manganese & Iron Ores Ltd.
SANOFICONR,Sanofi Consumer Healthcare India Ltd.
SANOFI,Sanofi India Ltd.
SANSERA,Sansera Engineering Ltd.
SAPPHIRE,Sapphire Foods India Ltd.
SARDAEN,Sarda Energy and Minerals Ltd.
SAREGAMA,Saregama India Ltd
SCHAEFFLER,Schaeffler India Ltd.
SCHNEIDER,Schneider Electric Infrastructure Ltd.
SENCO,Senco Gold Ltd.
SEQUENT,Sequent Scientific Ltd.
SHAILY,Shaily Engineering Plastics Ltd.
SHAKTIPUMP,Shakti Pumps (India) Ltd.
SHARDACROP,Sharda Cropchem Ltd.
SHARDAMOTR,Sharda Motor Industries Ltd.
SHAREINDIA,Share India Securities Ltd.
SFL,Sheela Foam Ltd.
SHILPAMED,Shilpa Medicare Ltd.
SCI,Shipping Corporation of India Ltd.
SHREECEM,Shree Cement Ltd.
RENUKA,Shree Renuka Sugars Ltd.
SHRIRAMFIN,Shriram Finance Ltd.
SHRIPISTON,Shriram Pistons & Rings Ltd.
SHYAMMETL,Shyam Metalics and Energy Ltd.
ENRIN,Siemens Energy India Ltd.
SIEMENS,Siemens Ltd.
SIGNATURE,Signatureglobal (India) Ltd.
SKIPPER,Skipper Ltd.
SOBHA,Sobha Ltd.
SOLARINDS,Solar Industries India Ltd.
SONACOMS,Sona BLW Precision Forgings Ltd.
SONATSOFTW,Sonata Software Ltd.
SOUTHBANK,South Indian Bank Ltd.
STARCEMENT,Star Cement Ltd.
STARHEALTH,Star Health and Allied Insurance Company Ltd.
SBIN,State Bank of India
SAIL,Steel Authority of India Ltd.
SWSOLAR,Sterling and Wilson Renewable Energy Ltd.
STLTECH,Sterlite Technologies Ltd.
STAR,Strides Pharma Science Ltd.
STYRENIX,Styrenix Performance Materials Ltd.
SUBROS,Subros Ltd.
SUDARSCHEM,Sudarshan Chemical Industries Ltd.
SUMICHEM,Sumitomo Chemical India Ltd.
SPARC,Sun Pharma Advanced Research Company Ltd.
SUNPHARMA,Sun Pharmaceutical Industries Ltd.
SUNTV,Sun TV Network Ltd.
SUNDARMFIN,Sundaram Finance Ltd.
